id:ID	:LABEL	comp	condition
decl;::sendMTFValues__code;;	cVariable	busybox/archival/	
decl;::sendMTFValues__len_pack;;	cVariable	busybox/archival/	
decl;::sendMTFValues__rfreq;;	cVariable	busybox/archival/	
decl;::serial;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::id;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::num_sectors;;	cVariable	busybox/util-linux/	
decl;::sgi_partinfo::start_sector;;	cVariable	busybox/util-linux/	
decl;::shm_rss;;	cVariable	busybox/util-linux/	
decl;::shm_swp;;	cVariable	busybox/util-linux/	
decl;::shm_tot;;	cVariable	busybox/util-linux/	
decl;::sign;;	cVariable	busybox/networking/	
decl;::sin6;;	cVariable	busybox/include/	
decl;::sin;;	cVariable	busybox/include/	
decl;::size;;	cVariable	busybox/networking/	
decl;::size_char;;	cVariable	busybox/findutils/	
decl;::state;;	cVariable	busybox/archival/	
decl;::state_in_ch;;	cVariable	busybox/archival/	
decl;::state_in_len;;	cVariable	busybox/archival/	
decl;::state_out_pos;;	cVariable	busybox/archival/	
decl;::str;;	cVariable	busybox/procps/	
decl;::strm;;	cVariable	busybox/archival/	
decl;::subexpr;;	cVariable	busybox/findutils/	
decl;::subst_count;;	cVariable	busybox/findutils/	
decl;::superblock_buffer;;	cVariable	busybox/util-linux/	
decl;::swap_attempts;;	cVariable	busybox/util-linux/	
decl;::swap_part;;	cVariable	busybox/util-linux/	
decl;::swap_successes;;	cVariable	busybox/util-linux/	
decl;::switch_off;;	cVariable	busybox/libbb/	
decl;::switch_on;;	cVariable	busybox/libbb/	
decl;::tag;;	cVariable	busybox/archival/	
decl;::total_out;;	cVariable	busybox/archival/	
decl;::tp_len;;	cVariable	busybox/networking/	
decl;::tp_mac;;	cVariable	busybox/networking/	
decl;::tp_net;;	cVariable	busybox/networking/	
decl;::tp_padding;;	cVariable	busybox/networking/	
decl;::tp_snaplen;;	cVariable	busybox/networking/	
decl;::tp_status;;	cVariable	busybox/networking/	
decl;::tp_vlan_tci;;	cVariable	busybox/networking/	
decl;::type;;	cVariable	busybox/archival/	
decl;::type_guid;;	cVariable	busybox/util-linux/	
decl;::type_mask;;	cVariable	busybox/findutils/	
decl;::uid;;	cVariable	busybox/findutils/	
decl;::unseqToSeq;;	cVariable	busybox/archival/	
decl;::used;;	cVariable	busybox/networking/	
decl;::used_ids;;	cVariable	busybox/util-linux/	
decl;::val;;	cVariable	busybox/shell/	
decl;::var;;	cVariable	busybox/shell/	
decl;::var_func::;;	cVariable	busybox/shell/	
decl;::var_func;;	cVariable	busybox/shell/	
decl;::var_text;;	cVariable	busybox/shell/	
decl;::vector;;	cVariable	busybox/procps/	
decl;::volume_directory::vol_file_name;;	cVariable	busybox/util-linux/	
decl;::volume_directory::vol_file_size;;	cVariable	busybox/util-linux/	
decl;::volume_directory::vol_file_start;;	cVariable	busybox/util-linux/	
decl;::waitstatus;;	cVariable	busybox/miscutils/	
decl;::width;;	cVariable	busybox/procps/	
decl;::wr_ops;;	cVariable	busybox/procps/	
decl;::wr_sectors;;	cVariable	busybox/procps/	
decl;::zbits;;	cVariable	busybox/archival/	
decl;;;	cEnum	busybox/include/	
decl;ACK;;	cVariable	busybox/miscutils/	
decl;ACOUSTIC;;	cVariable	busybox/miscutils/	
decl;ACTIVE_FLAG;;	cVariable	busybox/include/	
decl;AC_CFUNCTION;;	cVariable	busybox/miscutils/	
decl;AC_COPY;;	cVariable	busybox/miscutils/	
decl;AC_EXECUTE;;	cVariable	busybox/miscutils/	
decl;AC_IGNORE;;	cVariable	busybox/miscutils/	
decl;AC_MFUNCTION;;	cVariable	busybox/miscutils/	
decl;AC_MKNEWCOMPAT;;	cVariable	busybox/miscutils/	
decl;AC_MKOLDCOMPAT;;	cVariable	busybox/miscutils/	
decl;AC_MODLOAD;;	cVariable	busybox/miscutils/	
decl;AC_PERMISSIONS;;	cVariable	busybox/miscutils/	
decl;AC_RESTORE;;	cVariable	busybox/miscutils/	
decl;AC_RMNEWCOMPAT;;	cVariable	busybox/miscutils/	
decl;AC_RMOLDCOMPAT;;	cVariable	busybox/miscutils/	
decl;ADDR_NORMAL_WIDTH;;	cVariable	busybox/networking/	
decl;ADDR_NO_RANDOMIZE;;	cVariable	busybox/util-linux/	
decl;ADDR_WIDE;;	cVariable	busybox/networking/	
decl;ADD_CHAR_TO_BLOCK(EState *,uint32_t,)::ch;;	cVariable	busybox/archival/	
decl;ADD_CHAR_TO_BLOCK(EState *,uint32_t,)::zchh0;;	cVariable	busybox/archival/	
decl;ADD_CHAR_TO_BLOCK(EState *,uint32_t,)::zchh;;	cVariable	busybox/archival/	
decl;ADD_CHAR_TO_BLOCK(EState *,uint32_t,)::zs;;	cVariable	busybox/archival/	
decl;ADD_CHAR_TO_BLOCK(EState *,uint32_t,);;	cFunction	busybox/archival/	
decl;ADJTIME_PATH;;	cVariable	busybox/libbb/	
decl;ADLER32_INIT_VALUE;;	cVariable	busybox/archival/	
decl;ADV_PIO_MODES;;	cVariable	busybox/miscutils/	
decl;ADV_PWR;;	cVariable	busybox/miscutils/	
decl;AIX_INFO_MAGIC;;	cVariable	busybox/util-linux/	
decl;AIX_INFO_MAGIC_SWAPPED;;	cVariable	busybox/util-linux/	
decl;AIX_LABEL_MAGIC;;	cVariable	busybox/util-linux/	
decl;AIX_LABEL_MAGIC_SWAPPED;;	cVariable	busybox/util-linux/	
decl;ALIASDEAD;;	cVariable	busybox/shell/	
decl;ALIASINUSE;;	cVariable	busybox/shell/	
decl;ALIGN_BITS;;	cVariable	busybox/archival/	
decl;ALIGN_MASK;;	cVariable	busybox/archival/	
decl;ALIGN_SIZE;;	cVariable	busybox/archival/	
decl;ALLAN;;	cVariable	busybox/networking/	
decl;ALLOCATED;;	cVariable	busybox/findutils/	
decl;ALLOW_UNDO;;	cVariable	busybox/editors/	
decl;ALLOW_UNDO_CHAIN;;	cVariable	busybox/editors/	
decl;ALLOW_UNDO_QUEUED;;	cVariable	busybox/editors/	
decl;ALL_FLAGS;;	cVariable	busybox/miscutils/	
decl;ALL_SPD;;	cVariable	busybox/miscutils/	
decl;APPLET_NO_acpid;;	cVariable	busybox/include/	
decl;APPLET_NO_addgroup;;	cVariable	busybox/include/	
decl;APPLET_NO_adduser;;	cVariable	busybox/include/	
decl;APPLET_NO_adjtimex;;	cVariable	busybox/include/	
decl;APPLET_NO_arch;;	cVariable	busybox/include/	
decl;APPLET_NO_arp;;	cVariable	busybox/include/	
decl;APPLET_NO_arping;;	cVariable	busybox/include/	
decl;APPLET_NO_ash;;	cVariable	busybox/include/	
decl;APPLET_NO_awk;;	cVariable	busybox/include/	
decl;APPLET_NO_base64;;	cVariable	busybox/include/	
decl;APPLET_NO_basename;;	cVariable	busybox/include/	
decl;APPLET_NO_beep;;	cVariable	busybox/include/	
decl;APPLET_NO_blkdiscard;;	cVariable	busybox/include/	
decl;APPLET_NO_blkid;;	cVariable	busybox/include/	
decl;APPLET_NO_blockdev;;	cVariable	busybox/include/	
decl;APPLET_NO_bootchartd;;	cVariable	busybox/include/	
decl;APPLET_NO_brctl;;	cVariable	busybox/include/	
decl;APPLET_NO_bunzip2;;	cVariable	busybox/include/	
decl;APPLET_NO_bzcat;;	cVariable	busybox/include/	
decl;APPLET_NO_bzip2;;	cVariable	busybox/include/	
decl;APPLET_NO_cal;;	cVariable	busybox/include/	
decl;APPLET_NO_cat;;	cVariable	busybox/include/	
decl;APPLET_NO_chat;;	cVariable	busybox/include/	
decl;APPLET_NO_chattr;;	cVariable	busybox/include/	
decl;APPLET_NO_chgrp;;	cVariable	busybox/include/	
decl;APPLET_NO_chmod;;	cVariable	busybox/include/	
decl;APPLET_NO_chown;;	cVariable	busybox/include/	
decl;APPLET_NO_chpasswd;;	cVariable	busybox/include/	
decl;APPLET_NO_chpst;;	cVariable	busybox/include/	
decl;APPLET_NO_chroot;;	cVariable	busybox/include/	
decl;APPLET_NO_chrt;;	cVariable	busybox/include/	
decl;APPLET_NO_chvt;;	cVariable	busybox/include/	
decl;APPLET_NO_cksum;;	cVariable	busybox/include/	
decl;APPLET_NO_clear;;	cVariable	busybox/include/	
decl;APPLET_NO_cmp;;	cVariable	busybox/include/	
decl;APPLET_NO_comm;;	cVariable	busybox/include/	
decl;APPLET_NO_conspy;;	cVariable	busybox/include/	
decl;APPLET_NO_cp;;	cVariable	busybox/include/	
decl;APPLET_NO_cpio;;	cVariable	busybox/include/	
decl;APPLET_NO_crond;;	cVariable	busybox/include/	
decl;APPLET_NO_crontab;;	cVariable	busybox/include/	
decl;APPLET_NO_cryptpw;;	cVariable	busybox/include/	
decl;APPLET_NO_cttyhack;;	cVariable	busybox/include/	
decl;APPLET_NO_cut;;	cVariable	busybox/include/	
decl;APPLET_NO_date;;	cVariable	busybox/include/	
decl;APPLET_NO_dc;;	cVariable	busybox/include/	
decl;APPLET_NO_dd;;	cVariable	busybox/include/	
decl;APPLET_NO_deallocvt;;	cVariable	busybox/include/	
decl;APPLET_NO_delgroup;;	cVariable	busybox/include/	
decl;APPLET_NO_deluser;;	cVariable	busybox/include/	
decl;APPLET_NO_depmod;;	cVariable	busybox/include/	
decl;APPLET_NO_devmem;;	cVariable	busybox/include/	
decl;APPLET_NO_df;;	cVariable	busybox/include/	
decl;APPLET_NO_dhcprelay;;	cVariable	busybox/include/	
decl;APPLET_NO_diff;;	cVariable	busybox/include/	
decl;APPLET_NO_dirname;;	cVariable	busybox/include/	
decl;APPLET_NO_dmesg;;	cVariable	busybox/include/	
decl;APPLET_NO_dnsd;;	cVariable	busybox/include/	
decl;APPLET_NO_dnsdomainname;;	cVariable	busybox/include/	
decl;APPLET_NO_dos2unix;;	cVariable	busybox/include/	
decl;APPLET_NO_dpkg;;	cVariable	busybox/include/	
decl;APPLET_NO_du;;	cVariable	busybox/include/	
decl;APPLET_NO_dumpkmap;;	cVariable	busybox/include/	
decl;APPLET_NO_dumpleases;;	cVariable	busybox/include/	
decl;APPLET_NO_echo;;	cVariable	busybox/include/	
decl;APPLET_NO_ed;;	cVariable	busybox/include/	
decl;APPLET_NO_egrep;;	cVariable	busybox/include/	
decl;APPLET_NO_eject;;	cVariable	busybox/include/	
decl;APPLET_NO_env;;	cVariable	busybox/include/	
decl;APPLET_NO_envdir;;	cVariable	busybox/include/	
decl;APPLET_NO_envuidgid;;	cVariable	busybox/include/	
decl;APPLET_NO_expand;;	cVariable	busybox/include/	
decl;APPLET_NO_expr;;	cVariable	busybox/include/	
decl;APPLET_NO_factor;;	cVariable	busybox/include/	
decl;APPLET_NO_fakeidentd;;	cVariable	busybox/include/	
decl;APPLET_NO_fallocate;;	cVariable	busybox/include/	
decl;APPLET_NO_false;;	cVariable	busybox/include/	
decl;APPLET_NO_fatattr;;	cVariable	busybox/include/	
decl;APPLET_NO_fbset;;	cVariable	busybox/include/	
decl;APPLET_NO_fbsplash;;	cVariable	busybox/include/	
decl;APPLET_NO_fdflush;;	cVariable	busybox/include/	
decl;APPLET_NO_fdformat;;	cVariable	busybox/include/	
decl;APPLET_NO_fdisk;;	cVariable	busybox/include/	
decl;APPLET_NO_fgconsole;;	cVariable	busybox/include/	
decl;APPLET_NO_fgrep;;	cVariable	busybox/include/	
decl;APPLET_NO_find;;	cVariable	busybox/include/	
decl;APPLET_NO_findfs;;	cVariable	busybox/include/	
decl;APPLET_NO_flock;;	cVariable	busybox/include/	
decl;APPLET_NO_fold;;	cVariable	busybox/include/	
decl;APPLET_NO_free;;	cVariable	busybox/include/	
decl;APPLET_NO_freeramdisk;;	cVariable	busybox/include/	
decl;APPLET_NO_fsck;;	cVariable	busybox/include/	
decl;APPLET_NO_fsfreeze;;	cVariable	busybox/include/	
decl;APPLET_NO_fstrim;;	cVariable	busybox/include/	
decl;APPLET_NO_fsync;;	cVariable	busybox/include/	
decl;APPLET_NO_ftpd;;	cVariable	busybox/include/	
decl;APPLET_NO_ftpget;;	cVariable	busybox/include/	
decl;APPLET_NO_ftpput;;	cVariable	busybox/include/	
decl;APPLET_NO_fuser;;	cVariable	busybox/include/	
decl;APPLET_NO_getopt;;	cVariable	busybox/include/	
decl;APPLET_NO_getty;;	cVariable	busybox/include/	
decl;APPLET_NO_grep;;	cVariable	busybox/include/	
decl;APPLET_NO_groups;;	cVariable	busybox/include/	
decl;APPLET_NO_gunzip;;	cVariable	busybox/include/	
decl;APPLET_NO_gzip;;	cVariable	busybox/include/	
decl;APPLET_NO_halt;;	cVariable	busybox/include/	
decl;APPLET_NO_hd;;	cVariable	busybox/include/	
decl;APPLET_NO_hdparm;;	cVariable	busybox/include/	
decl;APPLET_NO_head;;	cVariable	busybox/include/	
decl;APPLET_NO_hexdump;;	cVariable	busybox/include/	
decl;APPLET_NO_hexedit;;	cVariable	busybox/include/	
decl;APPLET_NO_hostid;;	cVariable	busybox/include/	
decl;APPLET_NO_hostname;;	cVariable	busybox/include/	
decl;APPLET_NO_httpd;;	cVariable	busybox/include/	
decl;APPLET_NO_hush;;	cVariable	busybox/include/	
decl;APPLET_NO_hwclock;;	cVariable	busybox/include/	
